,time_period_start,time_period_end,time_open,time_close,rate_open,rate_high,rate_low,rate_close
0,2019-12-30T00:00:00.0000000Z,2020-01-09T00:00:00.0000000Z,2019-12-30T00:01:00.0000000Z,2020-01-08T23:59:00.0000000Z,7377.524362011735,8460.648230833413,6860.743695399778,8034.199740110695
1,2020-01-09T00:00:00.0000000Z,2020-01-19T00:00:00.0000000Z,2020-01-09T00:01:00.0000000Z,2020-01-18T23:59:00.0000000Z,8035.076544042582,8986.49259839071,7679.964766448096,8909.43202348992
2,2020-01-19T00:00:00.0000000Z,2020-01-29T00:00:00.0000000Z,2020-01-19T00:01:00.0000000Z,2020-01-28T23:59:00.0000000Z,8902.538385401558,9404.64660396258,8219.97322777639,9391.32822517557
3,2020-01-29T00:00:00.0000000Z,2020-02-08T00:00:00.0000000Z,2020-01-29T00:01:00.0000000Z,2020-02-07T23:59:00.0000000Z,9408.799100298593,9864.688390527097,9082.210347272905,9811.713611951614
4,2020-02-08T00:00:00.0000000Z,2020-02-18T00:00:00.0000000Z,2020-02-08T00:01:00.0000000Z,2020-02-17T23:59:00.0000000Z,9804.093421860005,10512.481244573924,9471.331875478701,9701.315927802763
5,2020-02-18T00:00:00.0000000Z,2020-02-28T00:00:00.0000000Z,2020-02-18T00:01:00.0000000Z,2020-02-27T23:59:00.0000000Z,9714.955250079065,10287.995535183378,8523.692189678643,8802.495067542715
6,2020-02-28T00:00:00.0000000Z,2020-03-09T00:00:00.0000000Z,2020-02-28T00:01:00.0000000Z,2020-03-08T23:59:00.0000000Z,8817.183984390176,9208.07958680864,8005.553273996927,8032.22110467498
7,2020-03-09T00:00:00.0000000Z,2020-03-19T00:00:00.0000000Z,2020-03-09T00:01:00.0000000Z,2020-03-18T23:59:00.0000000Z,8064.4326301245355,8172.215242731592,3939.82718553597,5407.990430524198
8,2020-03-19T00:00:00.0000000Z,2020-03-29T00:00:00.0000000Z,2020-03-19T00:01:00.0000000Z,2020-03-28T23:59:00.0000000Z,5426.968972521972,6974.151214767368,5268.671957335783,6262.198865058961
9,2020-03-29T00:00:00.0000000Z,2020-04-08T00:00:00.0000000Z,2020-03-29T00:01:00.0000000Z,2020-04-07T23:59:00.0000000Z,6270.440145075549,7462.1811805110565,5856.744880737859,7204.128267038053
10,2020-04-08T00:00:00.0000000Z,2020-04-18T00:00:00.0000000Z,2020-04-08T00:01:00.0000000Z,2020-04-17T23:59:00.0000000Z,7201.607713018989,7419.212958603261,6494.939512183694,7038.120927109519
11,2020-04-18T00:00:00.0000000Z,2020-04-28T00:00:00.0000000Z,2020-04-18T00:01:00.0000000Z,2020-04-27T23:59:00.0000000Z,7047.940711092585,7793.243983585353,6770.169913950054,7789.623471765658
12,2020-04-28T00:00:00.0000000Z,2020-05-08T00:00:00.0000000Z,2020-04-28T00:01:00.0000000Z,2020-05-07T23:59:00.0000000Z,7775.338254548115,5049974.265664132,7673.00035437176,9997.270100285743
13,2020-05-08T00:00:00.0000000Z,2020-05-18T00:00:00.0000000Z,2020-05-08T00:01:00.0000000Z,2020-05-17T23:59:00.0000000Z,10011.183006470423,10046.639043340587,8169.93192686929,9672.133991082983
14,2020-05-18T00:00:00.0000000Z,2020-05-28T00:00:00.0000000Z,2020-05-18T00:01:00.0000000Z,2020-05-27T23:59:00.0000000Z,9700.7352963494,9937.235467451826,8679.825651118612,9192.346514356628
15,2020-05-28T00:00:00.0000000Z,2020-06-07T00:00:00.0000000Z,2020-05-28T00:01:00.0000000Z,2020-06-06T23:59:00.0000000Z,9199.574876126899,10364.931870116021,9113.576710504856,9671.479765738253
16,2020-06-07T00:00:00.0000000Z,2020-06-17T00:00:00.0000000Z,2020-06-07T00:01:00.0000000Z,2020-06-16T23:59:00.0000000Z,9667.461020255312,9993.034107966989,8920.594605754519,9524.924319257541
17,2020-06-17T00:00:00.0000000Z,2020-06-27T00:00:00.0000000Z,2020-06-17T00:01:00.0000000Z,2020-06-26T23:59:00.0000000Z,9534.25357733866,9754.869250945432,9011.068265182403,9154.56299349551
18,2020-06-27T00:00:00.0000000Z,2020-07-07T00:00:00.0000000Z,2020-06-27T00:01:00.0000000Z,2020-07-06T23:59:00.0000000Z,9158.147107703993,9358.62441588714,8848.27218846683,9346.84939279002
19,2020-07-07T00:00:00.0000000Z,2020-07-17T00:00:00.0000000Z,2020-07-07T00:01:00.0000000Z,2020-07-16T23:59:00.0000000Z,9335.218266004138,9475.405476934875,9044.242583654841,9129.643578831356
20,2020-07-17T00:00:00.0000000Z,2020-07-27T00:00:00.0000000Z,2020-07-17T00:01:00.0000000Z,2020-07-26T23:59:00.0000000Z,9135.012935236371,10149.161546501855,9078.960345344698,9940.749765004139
21,2020-07-27T00:00:00.0000000Z,2020-08-06T00:00:00.0000000Z,2020-07-27T00:01:00.0000000Z,2020-08-05T23:59:00.0000000Z,9944.097685143519,12096.30877859157,9937.347780696202,11759.121184907235
22,2020-08-06T00:00:00.0000000Z,2020-08-16T00:00:00.0000000Z,2020-08-06T00:01:00.0000000Z,2020-08-15T23:59:00.0000000Z,11742.76414368054,12079.107448547857,11145.145211382116,11871.86500544627
23,2020-08-16T00:00:00.0000000Z,2020-08-26T00:00:00.0000000Z,2020-08-16T00:01:00.0000000Z,2020-08-25T23:59:00.0000000Z,11855.809056502878,12475.401694915663,11129.128855093328,11330.493949034522
24,2020-08-26T00:00:00.0000000Z,2020-09-05T00:00:00.0000000Z,2020-08-26T00:01:00.0000000Z,2020-09-04T23:59:00.0000000Z,11326.702193335721,12058.434082401234,10023.10841982561,10464.090089297795
25,2020-09-05T00:00:00.0000000Z,2020-09-15T00:00:00.0000000Z,2020-09-05T00:01:00.0000000Z,2020-09-14T23:59:00.0000000Z,10474.519443792691,10751.471137291599,9873.74972825993,10673.613074068253
26,2020-09-15T00:00:00.0000000Z,2020-09-25T00:00:00.0000000Z,2020-09-15T00:01:00.0000000Z,2020-09-24T23:59:00.0000000Z,10675.509143403455,11165.867109831297,10143.742926778446,10734.225388993636
27,2020-09-25T00:00:00.0000000Z,2020-10-05T00:00:00.0000000Z,2020-09-25T00:01:00.0000000Z,2020-10-04T23:59:00.0000000Z,10741.044179431903,10945.3892671289,10396.944666328192,10677.720385789231
28,2020-10-05T00:00:00.0000000Z,2020-10-15T00:00:00.0000000Z,2020-10-05T00:01:00.0000000Z,2020-10-14T23:59:00.0000000Z,10676.354775816733,11713.847572789731,10528.342975963196,11426.436730963103
29,2020-10-15T00:00:00.0000000Z,2020-10-25T00:00:00.0000000Z,2020-10-15T00:01:00.0000000Z,2020-10-24T23:59:00.0000000Z,11429.057737687652,13227.902921516725,11224.79590558941,13129.307215335646
30,2020-10-25T00:00:00.0000000Z,2020-11-04T00:00:00.0000000Z,2020-10-25T00:01:00.0000000Z,2020-11-03T23:59:00.0000000Z,13120.801718023844,14065.539148562224,12813.622020173312,14014.13814905917
31,2020-11-04T00:00:00.0000000Z,2020-11-14T00:00:00.0000000Z,2020-11-04T00:01:00.0000000Z,2020-11-13T23:59:00.0000000Z,14066.719783707023,16487.17949506408,13598.089733210372,16341.033612828245
32,2020-11-14T00:00:00.0000000Z,2020-11-24T00:00:00.0000000Z,2020-11-14T00:01:00.0000000Z,2020-11-23T23:59:00.0000000Z,16342.243385485212,18976.996058639823,15743.444741000709,18409.51437254293
33,2020-11-24T00:00:00.0000000Z,2020-12-04T00:00:00.0000000Z,2020-11-24T00:01:00.0000000Z,2020-12-03T23:59:00.0000000Z,18389.10601801161,19909.0971357465,16218.00694421,19444.295157996217
34,2020-12-04T00:00:00.0000000Z,2020-12-14T00:00:00.0000000Z,2020-12-04T00:01:00.0000000Z,2020-12-13T23:59:00.0000000Z,19430.38253028829,19538.973954825375,17589.972237108406,19157.099371621982
35,2020-12-14T00:00:00.0000000Z,2020-12-24T00:00:00.0000000Z,2020-12-14T00:01:00.0000000Z,2020-12-23T23:59:00.0000000Z,19134.94657674994,24260.980566441605,19004.08062301396,23252.2226231811
36,2020-12-24T00:00:00.0000000Z,2021-01-03T00:00:00.0000000Z,2020-12-24T00:01:00.0000000Z,2021-01-02T23:59:00.0000000Z,23199.66932910859,33246.69524736877,22732.22136832531,32210.335791972764
